# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Haz clic aquí
$SSL_FemaleRough	[SL] Femenina ruda
$SSL_FemaleSeductive	[SL] Femenina seductora
$SSL_FemaleShy	[SL] Femenina tímida
$SSL_FemaleShy2	[SL] Femenina tímida (Alt)
$SSL_FemaleWarrior	[SL] Femenina guerrera

$SSL_MaleAverage	[SL] Masculina promedio
$SSL_MaleCalm	[SL] Masculina calmada
$SSL_MaleNeutral	[SL] Masculina neutral
$SSL_MaleRough	[SL] Masculina ruda

$SSL_ChaurusVoice01	[SL] Chaurus (predeterminado)
$SSL_DogVoice01	[SL] Perro (predeterminado)
$SSL_DraugrVoice01	[SL] Draugr (predeterminado)
$SSL_FalmerVoice01	[SL] Falmer (predeterminado)
$SSL_GiantVoice01	[SL] Gigante (predeterminado)
$SSL_HorseVoice01	[SL] Caballo (predeterminado)
$SSL_SprigganVoice01	[SL] Spriggan (predeterminado)
$SSL_TrollVoice01	[SL] Trol (predeterminado)
$SSL_WerewolfVoice01	[SL] Hombre lobo (predeterminado)
$SSL_WolfVoice01	[SL] Lobo (predeterminado)

# ------------------Player Hotkeys--------------------------------------------------
$SSL_PlayerHotkeys	Atajos del jugador

# TODO: $SSL_bUseSceneMenu
$SSL_bUseSceneMenu	Use Scene Menu
# TODO: $SSL_bUseSceneMenuHighlight
$SSL_bUseSceneMenuHighlight	Toggles the use of the native in-scene menu and enjoyment bars.\nDisabling this brings back support for some modernized legacy SL's hotkeys.

# ------ Global SexLab Hotkeys
$SSL_GlobalHotkeys	Atajos globales de SexLab

$SSL_iTargetActor	Seleccionar actor para editar
$SSL_iTargetActorHighlight	Tras pulsar esta tecla, apunta con la mira a un actor hasta recibir notificación. Luego podrás editarlo en varios menús.
$SSL_iToggleFreeCamera	Alternar cámara libre
$SSL_iToggleFreeCameraHighlight	Activa/desactiva la cámara libre (igual que TFC). Funciona siempre, incluso fuera de animaciones.
# TODO: $SSL_iToggleThreadControl
$SSL_iToggleThreadControl	Toggle Thread Control

# ------ Scene Manipulation
$SSL_SceneManipulation	Control de escena
$SSL_iKeyUp	Seleccionar / Arriba
$SSL_iKeyDown	Seleccionar / Abajo
$SSL_iKeyLeft	Reducir velocidad / Izquierda
$SSL_iKeyRight	Aumentar velocidad / Derecha
$SSL_iKeyAdvance	Avanzar escena / Seleccionar
$SSL_iKeyEnd	Finalizar escena / Atrás
$SSL_iKeyExtra2	Abrir menú / Cambiar pestaña
$SSL_iKeyMod	Modificador
# TODO: $SSL_iKeyModHighlight
$SSL_iKeyModHighlight	Toggles alternative effect for other hotkeys.\nNext/Prev: ChangePartner, AdvanceStage, OffsetAdjustMode.\nAdjustTarget: EnjRaise, EnjHoldback, ChangePosition, OffsetDirections.\nThe hotkeys changing their mode to "AdjustTarget" with ModifierKey affect Player on their own.
$SSL_iKeyReset	Acción inversa

# TODO: $SSL_LegacyHotkeys
$SSL_LegacyHotkeys	Legacy Hotkeys
$SSL_iChangeAnimation	Cambiar animación
$SSL_iMoveScene	Mover escena
# TODO: $SSL_iChangePositions
$SSL_iChangePositions	Change Positions
# TODO: $SSL_iOffsetAdjustMode
$SSL_iOffsetAdjustMode	Cycle Offset Adjust Modes
# TODO: $SSL_iOffsetAdjustModeHighlight
$SSL_iOffsetAdjustModeHighlight	Hotkey to switch between the 5 offset adjust modes when in scene.\nNone: Offset adjustments are disabled (default).\nPOS-XY: L/R keys adjust position's X, U/D adjust Y.\nPOS-RZ: L/R adjust pos's Rotation, U/D adjust Z.\nSCENE-XY: L/R adjust scene's X, U/D adjust Y (furniture scene only).\nSCENE-RZ: L/R adjust scene's Rotation, U/D adjust Z (furniture only).
# TODO: $SSL_iToggleAdjustStage
$SSL_iToggleAdjustStage	Toggle Adjust Stage
# TODO: $SSL_iRestoreOffsets
$SSL_iRestoreOffsets	Reset Offset Adjustments
# TODO: $SSL_iSceneSelectorMenu
$SSL_iSceneSelectorMenu	Scene Selector Menu

# ------ Scene Selector Menu
# TODO: $SSL_SS_OffsetAdjustMode
$SSL_SS_OffsetAdjustMode	Select Offset Adjust Mode
# TODO: $SSL_SS_ChangeCurrentScene
$SSL_SS_ChangeCurrentScene	Change Current Scene
# TODO: $SSL_SS_ResetScenesByTagName
$SSL_SS_ResetScenesByTagName	Search By Tag/Name
# TODO: $SSL_SS_AdjNone
$SSL_SS_AdjNone	Disable Offset Adjustments
# TODO: $SSL_SS_AdjPosXY
$SSL_SS_AdjPosXY	Ajust Position XY
# TODO: $SSL_SS_AdjPosRZ
$SSL_SS_AdjPosRZ	Ajust Position RZ
# TODO: $SSL_SS_AdjSceneXY
$SSL_SS_AdjSceneXY	Ajust Furniture XY
# TODO: $SSL_SS_AdjSceneRZ
$SSL_SS_AdjSceneRZ	Ajust Furniture RZ

# ------------------- Timers & Stripping -------------------------------------------------
$SSL_TimersStripping	Tiempos y desvestido

# ------ Timers
$SSL_Timers	Tiempos
$SSL_StageTimer_0	Duración etapa 1
$SSL_StageTimer_1	Duración etapa 2
$SSL_StageTimer_2	Duración etapa 3
$SSL_StageTimer_3	Duración etapa final

# ------ Stripping
$SSL_Stripping	Desvestido

$SSL_DefaultStripping	Escenas estándar
$SSL_DominantStripping	Escenas dominantes

$SSL_StrippingFst_0	Actores masculinos
$SSL_StrippingSnd_0	Actores femeninos 
$SSL_StrippingFst_1	Actores dominantes
$SSL_StrippingSnd_1	Actores sumisos
$SSL_ExtraSlots	Ranuras extra (pueden no estar bien etiquetadas)

$SSL_Strip_0	[30] Cabeza
$SSL_Strip_1	[31] Cabello
$SSL_Strip_2	[32] Torso
$SSL_Strip_3	[33] Manos
$SSL_Strip_4	[34] Antebrazos
$SSL_Strip_5	[35] Amuleto
$SSL_Strip_6	[36] Anillo
$SSL_Strip_7	[37] Pies
$SSL_Strip_8	[38] Pantorrillas
$SSL_Strip_9	[39] Escudo
$SSL_Strip_10	[40] Cola
$SSL_Strip_11	[41] Cabello largo
$SSL_Strip_12	[42] Diadema
$SSL_Strip_13	[43] Orejas
$SSL_Strip_14	[44] Cara/Boca
$SSL_Strip_15	[45] Cuello
$SSL_Strip_16	[46] Pecho
$SSL_Strip_17	[47] Espalda
$SSL_Strip_18	[48] Ranura misc
$SSL_Strip_19	[49] Pelvis/Ropa exterior
$SSL_Strip_20	[50] Cabeza decapitada
$SSL_Strip_21	[51] Decapitación
$SSL_Strip_22	[52] Pelvis/Ropa interior
$SSL_Strip_23	[53] Piernas/Pierna derecha
$SSL_Strip_24	[54] Piernas/Pierna izquierda
$SSL_Strip_25	[55] Cara/Joyería
$SSL_Strip_26	[56] Pecho/Ropa interior
$SSL_Strip_27	[57] Hombros
$SSL_Strip_28	[58] Brazos/Brazo izquierdo/Ropa interior
$SSL_Strip_29	[59] Brazos/Brazo derecho/Ropa exterior
$SSL_Strip_30	[60] *Cuerpos 3BA
$SSL_Strip_31	[61] *Efectos mágicos
$SSL_Weapons	[--] Armas

# ------------------ Toggle Animations --------------------------------------------------
$SSL_ToggleAnimations	Activar/Desactivar animaciones
$SSL_TogglePackage	Filtrar por paquete de animaciones
$SSL_TogglePackageHighlight	Filtra únicamente las animaciones de un paquete/módulo específico
$SSL_ToggleGroup	Filtrar por grupo
$SSL_togglecategoryHighlight	Filtra animaciones por categoría (humano/criatura)
$SSL_ToggleVisible	Activar/Desactivar visibles
$SSL_ToggleVisibleHighlight	Activa o desactiva todas las animaciones filtradas en esta página
$SSL_TagFilter	Filtrar por etiquetas
$SSL_toggletagsHighlight	Filtra animaciones mediante etiquetas
$SSL_Page{}{}	Página {}/{}


# ------------------ Matchmaker --------------------------------------------------
$SSL_MatchMaker	Matchmaker

$SSL_ToggleMatchMaker	Activar Matchmaker
$SSL_ToggleMatchMakerHighlight	Activa Matchmaker. Se añadirán hechizos al menú de hechizos

# ------ Tag Settings
$SSL_MatchMakerTagsSettings	Configuración de etiquetas
$SSL_InputTags	Etiquetas:
$SSL_matchmakerInputTagsHighlight	Cadena de etiquetas resultante basada en las entradas de abajo
$SSL_InputRequiredTags	Etiquetas requeridas:
$SSL_matchmakerInputRequiredTagsHighlight	Lista de etiquetas separadas por comas; todas deben estar presentes simultáneamente en las escenas filtradas
$SSL_InputExcludedTags	Etiquetas excluidas:
$SSL_matchmakerInputExcludedTagsHighlight	Lista de etiquetas separadas por comas; ninguna debe estar presente en las escenas filtradas
$SSL_InputOptionalTags	Etiquetas opcionales:
$SSL_matchmakerInputOptionalTagsHighlight	Lista de etiquetas separadas por comas; al menos una debe estar presente en las escenas filtradas
$SSL_TextResetTags	Restablecer etiquetas
$SSL_TextResetTagsHighlight	Restablece todos los campos de etiquetas
$SSL_ResetTagsHere	Haz clic
$SSL_TagResetAreYouSure	Restablecer todas las etiquetas, ¿estás seguro?

# ------ Actor Settings
$SSL_MatchMakerActorSettings	Configuración de actores
$SSL_bSubmissivePlayer	Jugador sumiso
$SSL_bSubmissivePlayerHighlight	Filtra escenas donde el jugador está en posición sumisa
$SSL_bSubmissiveTarget	Objetivo sumiso
$SSL_bSubmissiveTargetHighlight	Filtra escenas donde el actor objetivo está en posición sumisa

# ------------------ Enjoyment --------------------------------------------------
$SSL_EnjoymentSettings	Configuración de disfrute
# TODO: $SSL_EnjPrimarySettings
$SSL_EnjPrimarySettings	Primary Settings
# TODO: $SSL_EnjGeneralConfigs
$SSL_EnjGeneralConfigs	General Configs
# TODO: $SSL_EnjGameConfigs
$SSL_EnjGameConfigs	Game Configs
# TODO: $SSL_EnjPainConfigs
$SSL_EnjPainConfigs	Pain Configs
# TODO: $SSL_EnjGameHotkeys
$SSL_EnjGameHotkeys	Game Hotkeys
# TODO: $SSL_EnjMiscRateMult
$SSL_EnjMiscRateMult	Misc Rate Mult

# ------ Primary Settings
$SSL_bInternalEnjoymentEnabled	Activar sistema de disfrute interno
$SSL_bInternalEnjoymentEnabledHighlight	Activa el sistema interno de disfrute. Debería permanecer activado salvo que otro mod externo controle completamente este sistema.
$SSL_fEnjRaiseMultInter	Multiplicador de aumento (interacciones)
$SSL_fEnjRaiseMultInterHighlight	Multiplicador principal que determina la velocidad a la que aumenta el disfrute según las interacciones detectadas. Valores altos = aumento más rápido.\nPuede reducirse a 0 si se desea que dependa solo del minijuego.
$SSL_bGameEnabled	Activar minijuego de disfrute
$SSL_bGameEnabledHighlight	Activa el minijuego de disfrute inspirado en SLSO.

# ------ General Configs
$SSL_bFallbackToTagsForDetection	Permitir uso de etiquetas como respaldo
$SSL_bFallbackToTagsForDetectionHighlight	Permite usar etiquetas de posición como respaldo cuando no está disponible la detección física en tiempo real.
$SSL_bNoStaminaEndsScene	Sin resistencia termina escena
$SSL_bNoStaminaEndsSceneHighlight	Finaliza la escena automáticamente cuando la resistencia del actor se agota.
$SSL_bMaleOrgasmEndsScene	Orgasmo masculino termina escena
$SSL_bMaleOrgasmEndsSceneHighlight	Finaliza la escena tras el primer orgasmo masculino.
$SSL_bDomMustOrgasm	El dominante debe terminar
$SSL_bDomMustOrgasmHighlight	Requiere que el actor dominante alcance el orgasmo antes de finalizar la escena.\nLa escena continúa cambiando a animaciones similares hasta que ocurra.
$SSL_bPlayerMustOrgasm	El jugador debe terminar
$SSL_bPlayerMustOrgasmHighlight	Requiere que el jugador alcance el orgasmo antes de finalizar la escena.\nLa escena continúa cambiando a animaciones similares hasta que ocurra.
$SSL_bHighEnjOrgasmWait	Esperar alto disfrute
$SSL_bHighEnjOrgasmWaitHighlight	La escena continúa si el disfrute es >75 o si el actor está en estado de "edging", sin importar el número de orgasmos.\nSe mantiene cambiando a animaciones similares hasta que ocurra.
$SSL_iMaxNoPainOrgasmMale	Máx orgasmos sin dolor (masculino)
$SSL_iMaxNoPainOrgasmMaleHighlight	Número de orgasmos antes de aplicar penalización por dolor en actores masculinos. Superado este límite, cada orgasmo aumenta el dolor progresivamente.
$SSL_iMaxNoPainOrgasmFemale	Máx orgasmos sin dolor (femenino)
$SSL_iMaxNoPainOrgasmFemaleHighlight	Número de orgasmos antes de aplicar penalización por dolor en actores femeninos/futa. Superado este límite, cada orgasmo aumenta el dolor progresivamente.
$SSL_iNoPainRequiredTime	Tiempo de reducción de dolor
$SSL_iNoPainRequiredTimeHighlight	Tiempo en segundos necesario para que los efectos de dolor disminuyan durante la escena.
$SSL_iNoPainRequiredXP	XP para evitar dolor
$SSL_iNoPainRequiredXPHighlight	Cantidad de experiencia anal y vaginal necesaria para evitar efectos de dolor por interacciones.

# ------ Misc Multipliers
$SSL_fEnjMultVictim	Multiplicador de disfrute: Víctima
$SSL_fEnjMultVictimHighlight	Multiplicador adicional de aumento de disfrute para actores en rol de víctima.\n(Nota: El estado de víctima se define por el contexto de la escena, no por etiquetas.)
$SSL_fEnjMultAggressor	Multiplicador de disfrute: Agresor
$SSL_fEnjMultAggressorHighlight	Multiplicador adicional de aumento de disfrute para actores en rol de agresor.\n(Nota: El estado de agresor se define por el contexto de la escena, no por etiquetas.)
$SSL_fEnjMultSub	Multiplicador de disfrute: Sumiso
$SSL_fEnjMultSubHighlight	Multiplicador adicional de aumento de disfrute para actores sumisos.\n(Nota: El rol sumiso se define por las flags de SLSB, no por etiquetas.)
$SSL_fEnjMultDom	Multiplicador de disfrute: Dominante
$SSL_fEnjMultDomHighlight	Multiplicador adicional de aumento de disfrute para actores dominantes/no sumisos.\n(Nota: El rol dominante se define por las flags de SLSB, no por etiquetas.)
$SSL_fPainHugePPMult	Multiplicador de dolor: tamaño grande
$SSL_fPainHugePPMultHighlight	Factor adicional que aumenta el dolor en actores en posición receptora durante interacciones de penetración con actores de tamaño grande. Actualmente usado solo con ciertas criaturas.

# ------ Game Configs
$SSL_iEnjGameStaminaCost	Coste de resistencia del minijuego
$SSL_iEnjGameStaminaCostHighlight	Cantidad de RESISTENCIA que se consume en una acción relevante del minijuego.
$SSL_iEnjGameMagickaCost	Coste de magia del minijuego
$SSL_iEnjGameMagickaCostHighlight	Cantidad de MAGIA que se consume en una acción relevante del minijuego.
# TODO: $SSL_iGameEnjAdjAmount
$SSL_iGameEnjAdjAmount	Enjoyment Adjust Amount
