# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Выполнить
# --------------- UI -----------------------------------------------------
$SSL_Thread	Поток
$SSL_Positions	Позиции
$SSL_Debug	Дебаг
$SSL_SceneInfo	Информация о сцене
$SSL_Offset	Смещение
$SSL_AlternateScenes	Сцены
$SSL_PickRandom	Запустить случайную сцену
$SSL_ToggleAutoplay	Авто-воспроизведение
$SSL_Name	Имя
$SSL_Author	Автор
$SSL_Package	Набор
$SSL_Tags	Тэги
$SSL_CustomTags	Примечания
$SSL_ActiveFurniture{}	Центр: {}
$SSL_StepSize	Величина шага
$SSL_StageOnly	Только стадии
$SSL_ResetOffsets	Сбросить смещение
$SSL_Permutation	Перестановка
$SSL_Expression	Эмоция
$SSL_Voice	Голос
$SSL_GhostMode	Режим призрака
$SSL_ExitMenu	Выйти из меню
$SSL_PauseAnimation	Анимация на паузу
$SSL_MoveScene	Переместить сцену
$SSL_Speed	Скорость
$SSL_NextStage	Следующая стадия
$SSL_EndScene	Завершение
$SSL_HideHUD	Спрятать интерфейс игры
$SSL_HideUI	Спрятать интерфейс сцены
$SSL_None	Нет

# --------------- Sex Journal (Sex Diary) -----------------------------------------------------
$SSL_SexJournal	Секс Журнал
$SSL_SexDiary	Секс Дневник

$SSL_StatSelectingMenu	Просмотр статистики
$SSL_StatSelectingMenuHighlight	Выбранный в данный момент персонаж, по которому отображается статистика.

$SSL_Reset{}Stats	Сбросить {} Статы
$SSL_ResetStatHighlight	Удаляет выбранного Актёра из статистики, обнуляя его статистику, умолчания и ручные настройки.
$SSL_WarnReset{}Stats	Данное действие обнулит весь сексуальный опыт и статы для {}. Желаете продолжить?

# ------ Statistics
$SSL_Statistics	Статистика

$SSL_LastTimeInScene	Дата последней сцены
$SSL_TimeInScenes	Время потраченное в сценах
$SSL_Statistic_2	Опыт вагинального секса
$SSL_Statistic_3	Опыт анального секса
$SSL_Statistic_4	Опыт орального секса

$SSL_Unskilled	Без опыта
$SSL_Novice	Новичок
$SSL_Apprentice	Ученик
$SSL_Journeyman	Адепт
$SSL_Expert	Эксперт
$SSL_Master	Мастер
$SSL_GrandMaster	Легенда

$SSL_Statistic_5	Партнеры: Мужчины
$SSL_Statistic_6	Партнеры: Женщины
$SSL_Statistic_7	Партнеры: Фута
$SSL_Statistic_8	Партнеры: Существа

$SSL_Sexuality	Сексуальность
$SSL_SexualityHighlight	Нажмите чтобы изменить сексуальность данного Актёра

$SSL_Lesbian	Лесбиянка
$SSL_Gay	Гей
$SSL_Bisexual	Бисексуал(-ка)
$SSL_Heterosexual	Натурал(-ка)

$SSL_Statistic_9	Число орального секса
$SSL_Statistic_10	Число вагинального секса
$SSL_Statistic_11	Число анального секса
$SSL_Statistic_12	Число манстурбаций
$SSL_Statistic_13	Число в роли жертвы
$SSL_Statistic_14	Число в роли агрессора
$SSL_Statistic_15	Число всего



# ----------------- Animation Settings ---------------------------------------------------
$SSL_AnimationSettings	Настройки сцены

# ------ Player settings
$SSL_PlayerSettings	Настройки игрока

$SSL_bAutoAdvance	Продолжать анимацию по таймеру
$SSL_bAutoAdvanceHighlight	Анимация будет автоматически продолжатся по таймеру, когда в ней участвует игрок.
$SSL_bDisablePlayer	Отключить управление в роли жертвы
$SSL_bDisablePlayerHighlight	Если игрок является жертвой, управление анимацией блокируется.
$SSL_bAutoTFC	Автоматическая "свободная камера"
$SSL_bAutoTFCHighlight	Если включено, режим "свободная камера" (консольная команда "TFC") будет автоматически включен после начала сцены. Автоматическая "свободная камера" будет включена лишь для тех сцен, в которых принимает участие игрок.
$SSL_fAutoSUCSM	Скорость "свободной камеры"
$SSL_fAutoSUCSMHighlight	Скорость движения камеры в режиме "свободная камера".
$SSL_PlayerSex	Пол игрового персонажа
$SSL_{}Sex	Пол персонажа {}
$SSL_SexSelectHighlight	Этот параметр не изменяет фактический пол игрового персонажа, а лишь указывает системе SexLab, как нужно рассматривать этого персонажа и как вести обработку сцен и анимаций. Эта параметр предназначен для корректной обработки персонажей транссексуалов (футанари). К примеру, если игровой персонаж - женщина, то установка параметра "мужчина" заставит SexLab отвести женскому персонажу мужскую роль в сценах, даст возможность проигрывать сцены и анимации, помеченные как "мужские".

# ------ Extra effects
$SSL_ExtraEffects	Экстра эффекты

$SSL_ClimaxType	Тип оргазмов
$SSL_ClimaxTypeHighlight	Есть три варианта того как мод обрабатывает оргазмы \n1) На базе настроек сцен (сцена должна быть создана специально для P+) \n2) Как в старых Sexlab (один общий оргазм в конце сцены) \n3) Раздельные оргазмы (это новый встроенный алгоритм, который совместим с модами для SLSO)
$SSL_Climax_0	На базе настроек сцен
$SSL_Climax_1	Как в старых Sexlab
$SSL_Climax_2	Раздельные оргазмы

$SSL_bOrgasmEffects	Спец-эффекты при оргазме
$SSL_bOrgasmEffectsHighlight	Если этот параметр включен, звуковые эффекты оргазма будут воспроизводиться при оргазме каждого актера, а также дрожание камеры при оргазме игрока.
$SSL_fShakeStrength	Сила тряски камеры
$SSL_fShakeStrengthHighlight	Если включено «Спец-эффекты при оргазме», установите силу дрожания камеры при оргазме игрока. \nУстановите «0», чтобы отключить это.
$SSL_bUseCum	Применение эффектов спермы
$SSL_bUseCumHighlight	Примените эффект текстуры спермы к персонажам-получателям / жертвам после оргазма партнера / агрессора-мужчины.
$SSL_fCumTimer	Таймер эффектов спермы
$SSL_fCumTimerHighlight	Определяет время, в течении которого следы спермы будут отображаться на персонаже.
$SSL_bUseExpressions	Использовать эмоции
$SSL_bUseExpressionsHighlight	Применяет выбранные установки MFG к персонажам, участвующим в сцене, которые увеличиваются по мере продвижения анимации в зависимости от применимых навыков этого конкретного персонажа.\nВНИМАНИЕ: Использование установок MFG в сочетании с функцией синхронизации рта может вызвать различные графические дефекты.
$SSL_UseLipSync	Использовать анимацию рта
$SSL_bUseLipSync	Использовать анимацию рта
$SSL_bUseLipSyncHighlight	Всякий раз, когда актер стонет, будет воспроизводиться основная анимация рта.\nВНИМАНИЕ: Использование функции синхронизации рта в сочетании с установками MFG может привести к некорректному проигрыванию анимации рта.

# ------ Lovense
$SSL_Lovense	Lovense
$SSL_iLovenseStrength	Мощность по умолчанию
$SSL_iLovenseStrengthHighlight	Мощность вибрации игрушек Lovense во время сцен секса. Работает только если ваш персонаж принимает участие в сцене.
$SSL_iLovenseStrengthOrgasm	Мощность оргазма
$SSL_iLovenseStrengthOrgasmHighlight	Мощность вибрации игрушек Lovense во время оргазма. Работает только если ваш персонаж испытывает оргазм.
$SSL_iLovenseDurationOrgasm	Продолжительность оргазма
$SSL_iLovenseDurationOrgasmHighlight	Продолжительность вибро-эффектов во время игрового оргазма.

# ------ Creatures
$SSL_bAllowCreatures	Сцены с существами
$SSL_bAllowCreaturesHighlight	Разрешает существам участвовать в сценах.
$SSL_bCreatureGender	Пол существа должен соответствовать
$SSL_bCreatureGenderHighlight	Если включено, Sexlab проверит к какому полу относится существо и попытается использовать только соответствующие этому полу анимации с существами. Если отключено, SexLab будет относить всех существ только к мужскому полу и обрабатывать все соответствующие этому полу сцены и анимации.

# ------ Animation Handling
$SSL_AnimationHandling	Обработка анимации

$SSL_UseFade	Использовать затухание экрана
$SSL_UseFadeHighlight	Если включено и Игрок является частью анимации, применить эффект затухания экрана к не реалестичным событиям, таким как телепорт или начало выравнивания.\nЗатухание можно установить как размытие или черный экран.
$SSL_UseBlur	Размытие
$SSL_UseBlack	Черный экран
$SSL_bUndressAnimation	Анимация раздевания
$SSL_bUndressAnimationHighlight	Если включено, все участники сцены будут проигрывать специальную анимацию раздевания перед началом сцены.
$SSL_bRedressVictim	Одевать жертву
$SSL_bRedressVictimHighlight	Включение данного параметра указывает, что жертва будет автоматически одеваться сразу же после окончания сцены.
$SSL_bDisableTeleport	Отключить запуск телепорта
$SSL_bDisableTeleportHighlight	Включение данного параметра предотвращает мгновенную телепортацию участников сцены к месту ее проигрывания. Если включено, то участники сцены, находящиеся не слишком далеко друг от друга, попытаются подойти и/или подбежать друг к другу перед началом проигрывания сцены.
$SSL_bShowInMap	Показать сцены на карте
$SSL_bShowInMapHighlight	Получите дополнительный маркер задания для каждой сцены, происходящей поблизости (кроме тех, в которых вы сами участвуете).
$SSL_bSetAnimSpeedByEnjoyment	Возбуждение влияет на скорость 
$SSL_bSetAnimSpeedByEnjoymentHighlight	Базовая скорость анимации изменяется в зависимости степени возбуждения актёра (+/-20%).
$SSL_AdjustStage	Корректирование текущей стадии
$SSL_AdjustStageHighlight	Переключает режим, при котором все изменения смещения позиции/сцены будут применяться только к текущей воспроизводимой сцене.
$SSL_fAdjustStepSize	Величина шага смещения
$SSL_fAdjustStepSizeHighlight	Определяет величину шага для подстройки смещения.
$SSL_bHideHUD	Скрыть интерфейс игры
$SSL_bHideHUDHighlight	Убирает общие элементы игрового интерфейса, но не влияет на интерфейс сцены.
$SSL_FurnitureNPC	Использование мебели: NPC
$SSL_FurnitureNPCHighlight	Как NPC используют мебель. Если быть более точным, будут ли NPC использовать мебель, если она доступна и при каких условиях.
$SSL_AskNotSub	Спрашивать (если игрок не покорный)
$SSL_AskAlways	Всегда спрашивать
$SSL_FurniturePlayer	Использование мебели: Игрок
$SSL_FurniturePlayerHighlight	Позволяет решить, будет ли использована мебель в сценах с участием игрока (если доступна). Заменяет все прочие настройки касающиеся мебели. "Спрашивать" - выдаёт меню позволяющее выбрать варианты. Если игрок покорный (и выбрана опция "если игрок не покорный"), то решение принимается без выпадающих опций исходя из настроек NPC.

# ---- COMEBACK: Might delete
$SSL_bDisableScale	Отключить масштабирование / исправление CTD
$SSL_bDisableScaleHighlight	!!! Использовать лишь в случае необходимости !!!\nОтключает использование функции SetScale() в SexLab, из-за которой у некоторых пользователей происходят вылеты на рабочий стол во время проигрывания сцен. Некоторое масштабирование может по-прежнему происходить другими способами, например, при использовании мебели, и SexLab не сможет это исправить, пока эта функция включена. Результаты могут варьироватся.

# ----------------- Voices & SFX ---------------------------------------------------
$SSL_SoundSettings	Настройки звука

$SSL_fSFXVolume	Громкость звуковых эффектов
$SSL_fSFXVolumeHighlight	Регулирует уровень громкости звуковых эффектов в диапазоне от 0.0 до 1.0 (полная громкость).
$SSL_fSFXDelay	Задержка  звуковых эффектов
$SSL_fSFXDelayHighlight	Соответствующие звуковые эффекты будут активироватся с этим интервалом, который будет уменьшаться с каждым последующим этапом.
$SSL_fVoiceVolume	Громкость голосов
$SSL_fVoiceVolumeHighlight	Регулирует уровень громкости голоса в диапазоне от 0.0 до 1.0 (полная громкость).
$SSL_fMaleVoiceDelay	Задержка мужского голоса
$SSL_fMaleVoiceDelayHighlight	Мужские голоса будут воспроизводится каждый раз через указанный интервал времени.
$SSL_fFemaleVoiceDelay	Задержка женского голоса
$SSL_fFemaleVoiceDelayHighlight	Женские голоса будут воспроизводится каждый раз через указанный интервал времени.

$SSL_CachedVoices	Кэшированные голоса
$SSL_SelectVoiceCache	Выбранный персонаж
$SSL_SelectVoiceCacheHighlight	Персонаж, голос которого на данный момент выбирается
$SSL_SelectVoiceCacheV	Голос персонажа
$SSL_SelectVoiceCacheVHighlight	Голос SexLab который на данный момент использует выбранный персонаж.\nГолос (если не был выбран вручную) будет выбран случайным образом в момент первого использования.

$SSL_ToggleVoices	Переключение голосов
$SSL_ActiveVoices	Просматриваемые голоса
$SSL_ActiveVoicesHighlight	Голоса, которые вы на данный момент просматриваете, отфильтрованные по расе.

$SSL_FemaleAverage	[SL] Женский Средний
$SSL_FemaleBreathy	[SL] Женский С придыханием
$SSL_FemaleClassic	[SL] Женский Классический
$SSL_FemaleExcitable	[SL] Женский Возбуждённый
$SSL_FemaleMature	[SL] Женский Зрелый
$SSL_FemaleQuiet	[SL] Женский Тихий
$SSL_FemaleStimulated	[SL] Женский Стимулированный
$SSL_FemaleYoung	[SL] Женский Молодой
$SSL_FemaleFlat	[SL] Женский Ровный
$SSL_FemaleRebellious	[SL] Женский Мятежный
$SSL_FemaleRebellious2	[SL] Женский Мятежный (Альт)
$SSL_FemaleRough	[SL] Женский Грубый
$SSL_FemaleSeductive	[SL] Женский Соблазнительный
$SSL_FemaleShy	[SL] Женский Стеснительный
$SSL_FemaleShy2	[SL] Женский Стеснительный (Альт)
$SSL_FemaleWarrior	[SL] Женский Воинственный

$SSL_MaleAverage	[SL] Мужской Средний
$SSL_MaleCalm	[SL] Мужской Спокойный
$SSL_MaleNeutral	[SL] Мужской Нейтральный
$SSL_MaleRough	[SL] Мужской Грубый

$SSL_ChaurusVoice01	[SL] Корус Обычный
$SSL_DogVoice01	[SL] Собака Обычный
$SSL_DraugrVoice01	[SL] Драугр Обычный
$SSL_FalmerVoice01	[SL] Фалмер Обычный
$SSL_GiantVoice01	[SL] Великан Обычный
$SSL_HorseVoice01	[SL] Лошадь Обычный
$SSL_SprigganVoice01	[SL] Спригган Обычный
$SSL_TrollVoice01	[SL] Тролль Обычный
$SSL_WerewolfVoice01	[SL] Оборотень Обычный
$SSL_WolfVoice01	[SL] Волк Обычный

# ------------------Player Hotkeys--------------------------------------------------
$SSL_PlayerHotkeys	Горячие клавиши

$SSL_bUseSceneMenu	Использовать меню сцены
$SSL_bUseSceneMenuHighlight	Включает/выключает использование встроенного меню и индикаторов наслаждения. Отключение этой функции возвращает поддержку некоторых модернизированных горячих клавиш старой версии SexLab.

# ------ Global SexLab Hotkeys
$SSL_GlobalHotkeys	Глобальные горячие клавиши

$SSL_iTargetActor	Выбрать персонажа / Сменить партнёра
$SSL_iTargetActorHighlight	После нажатия этой горячей клавиши наведите прицел на персонажа в игре и дождитесь уведомления о том, что персонаж выбран целью. После этого персонаж станет доступен для редактирования на различных страницах меню.
$SSL_iToggleFreeCamera	Режим "свободная камера"
$SSL_iToggleFreeCameraHighlight	Включает/отключает режим свободной камеры, что равносильно использованию консольной команды "TFC". Эта клавиша может быть использована в любых сценах, вне зависимости от их типа.
$SSL_iToggleThreadControl	Контроль потоков

# ------ Scene Manipulation
$SSL_SceneManipulation	Управление сценой
$SSL_iKeyUp	Выберите ветвь / Вверх
$SSL_iKeyDown	Выберите ветвь / Вниз
$SSL_iKeyLeft	Уменьшить скорость / Влево
$SSL_iKeyRight	Увеличить скорость / Вправо
$SSL_iKeyAdvance	Продолжить сцену / Выбрать
$SSL_iKeyEnd	Закончить сцену / Закрыть меню / Назад
$SSL_iKeyExtra2	Открыть меню / Переключить страницу меню
$SSL_iKeyMod	Модификатор
$SSL_iKeyModHighlight	Включает альтернативный эффект для других горячих клавиш.\nСледующий/Предыдущий: Сменить партнёра, сменить стадию, режим смещения.\nНастройка цели: Наслаждение, Сдерживатся, Сменить позицию, Направление смещения.\nГорячие клавиши, изменяющие свой режим на "Настройка цели" с помощью Модификатора, влияют на игрока по своему.
$SSL_iKeyReset	Инвертирование действия

$SSL_LegacyHotkeys	"Старые" горячие клавиши
$SSL_iChangeAnimation	Сменить анимацию
$SSL_iMoveScene	Переместить сцену
$SSL_iChangePositions	Сменить позицию
$SSL_iOffsetAdjustMode	Сменить режим смещения
$SSL_iOffsetAdjustModeHighlight	Горячая клавиша для переключения между 5 режимами регулировки смещения в сцене.\nНет: Регулировка смещения отключена (по умолчанию).\nPOS-XY: клавиши L/R регулируют положение по оси X, U/D — по оси Y.\nPOS-RZ: клавиши L/R регулируют вращение положения, U/D — по оси Z.\nSCENE-XY: клавиши L/R регулируют положение по оси X, U/D — по оси Y (только для сцен с мебелью).\nSCENE-RZ: клавиши L/R регулируют вращение положения, U/D — по оси Z (только для сцен с мебелью).
$SSL_iToggleAdjustStage	Переключить подстройку стадии
$SSL_iRestoreOffsets	Сбросить настройки смещения
$SSL_iSceneSelectorMenu	Меню выбора сцены

# ------ Scene Selector Menu
$SSL_SS_OffsetAdjustMode	Выбрать режим смещения
$SSL_SS_ChangeCurrentScene	Сменить текущую сцену
$SSL_SS_ResetScenesByTagName	Поиск по тегу/названию
$SSL_SS_AdjNone	Отключить подстройку смещения
$SSL_SS_AdjPosXY	Подстроить по оси XY
$SSL_SS_AdjPosRZ	Подстроить по оси RZ
$SSL_SS_AdjSceneXY	Подстроить мебель по XY
$SSL_SS_AdjSceneRZ	Подстроить мебель по RZ

# ------------------- Timers & Stripping -------------------------------------------------
$SSL_TimersStripping	Таймеры/Раздевание

# ------ Timers
$SSL_Timers	Таймеры
$SSL_StageTimer_0	Стадия №1
$SSL_StageTimer_1	Стадия №2
$SSL_StageTimer_2	Стадия №3 и выше
$SSL_StageTimer_3	Заключительная стадия

# ------ Stripping
$SSL_Stripping	Раздевание

$SSL_DefaultStripping	Стандартные сцены
$SSL_DominantStripping	Доминантные сцены

$SSL_StrippingFst_0	Мужские персонажи
$SSL_StrippingSnd_0	Женские персонажи
$SSL_StrippingFst_1	Агрессоры
$SSL_StrippingSnd_1	Жертвы
$SSL_ExtraSlots	Дополнительные ячейки снаряжения

$SSL_Strip_0	[30] Голова
$SSL_Strip_1	[31] Волосы
$SSL_Strip_2	[32] Торс
$SSL_Strip_3	[33] Руки
$SSL_Strip_4	[34] Предплечья
$SSL_Strip_5	[35] Амулеты
$SSL_Strip_6	[36] Кольца
$SSL_Strip_7	[37] Ступни
$SSL_Strip_8	[38] Икры ног
$SSL_Strip_9	[39] Щит
$SSL_Strip_10	[40] Хвост
$SSL_Strip_11	[41] Длинные волосы
$SSL_Strip_12	[42] Обруч
$SSL_Strip_13	[43] Уши
$SSL_Strip_14	[44] Лицо/Рот
$SSL_Strip_15	[45] Шея
$SSL_Strip_16	[46] Грудь
$SSL_Strip_17	[47] Спина
$SSL_Strip_18	[48] Разное
$SSL_Strip_19	[49] Таз/Верхняя одежда
$SSL_Strip_20	[50] Отрубленая голова
$SSL_Strip_21	[51] Обрубок
$SSL_Strip_22	[52] Трусы/Нижнее белье
$SSL_Strip_23	[53] Наколенник/Правая нога
$SSL_Strip_24	[54] Наколенник/Правая нога
$SSL_Strip_25	[55] Лицо/украшения
$SSL_Strip_26	[56] Грудь/Нижнее белье
$SSL_Strip_27	[57] Наплечники
$SSL_Strip_28	[58] Руки/Левая рука/Нижнее белье
$SSL_Strip_29	[59] Руки/Правая рука/Верхняя одежда
$SSL_Strip_30	[60] *Тело 3BA
$SSL_Strip_31	[61] *Эффекты заклинаний
$SSL_Weapons	[--] Оружие

# ------------------ Toggle Animations --------------------------------------------------
$SSL_ToggleAnimations	Анимации
$SSL_TogglePackage	Фильтровать по пакету
$SSL_TogglePackageHighlight	Показ анимаций только из определенного пакета/модуля.
$SSL_ToggleGroup	Фильтровать по группе
$SSL_togglecategoryHighlight	Фильтрация анимаций по категории человек/существо.
$SSL_ToggleVisible	Показывать отключённые
$SSL_ToggleVisibleHighlight	Включить или отключить показ отфильтрованных анимаций.
$SSL_TagFilter	Фильтровать по тегам
$SSL_toggletagsHighlight	Фильтровать анимации по тегам
$SSL_Page{}{}	Страница {}/{}


# ------------------ Matchmaker --------------------------------------------------
$SSL_MatchMaker	Генератор сцен

$SSL_ToggleMatchMaker	Включить Генератор сцен
$SSL_ToggleMatchMakerHighlight	Включить Генератор сцен. Заклинания будут добавлены в меню заклинаний.

# ------ Tag Settings
$SSL_MatchMakerTagsSettings	Настройки Тегов
$SSL_InputTags	Тэги:
$SSL_matchmakerInputTagsHighlight	Полученная строка тегов на основе введенных ниже тегов.
$SSL_InputRequiredTags	Обязательные теги:
$SSL_matchmakerInputRequiredTagsHighlight	Список тегов, разделенных запятыми, все из которых должны одновременно присутствовать в отфильтрованной сцене(ах).
$SSL_InputExcludedTags	Исключённые теги:
$SSL_matchmakerInputExcludedTagsHighlight	Список тегов, разделённых запятыми, ни один из которых не должен присутствовать в отфильтрованной(ых) сцене(ах).
$SSL_InputOptionalTags	Опциональные теги:
$SSL_matchmakerInputOptionalTagsHighlight	Список тегов, разделенных запятыми, по крайней мере один из которых должен присутствовать в отфильтрованной сцене(ах).
$SSL_TextResetTags	Сбросить теги
$SSL_TextResetTagsHighlight	Сбросить все введённые теги
$SSL_ResetTagsHere	Сбросить
$SSL_TagResetAreYouSure	Это сбросит все теги, вы уверены?

# ------ Actor Settings
$SSL_MatchMakerActorSettings	Настройка актёров
$SSL_bSubmissivePlayer	Игрок будет покорным
$SSL_bSubmissivePlayerHighlight	Использовать сцены где игрок должен быть покорным.
$SSL_bSubmissiveTarget	Цель будет покорной
$SSL_bSubmissiveTargetHighlight	Использовать сцены где выбранный персонаж должен быть покорным.

# ------------------ Enjoyment --------------------------------------------------
$SSL_EnjoymentSettings	Настройки наслаждения

# ------ Primary Settings
$SSL_bInternalEnjoymentEnabled	Включить наслаждение
$SSL_bInternalEnjoymentEnabledHighlight	Включает/выключает внутреннюю систему наслаждения. Должна оставаться включенной, если только внешняя модификация не захочет полностью взять под контроль расчет наслаждения.
$SSL_fEnjRaiseMultInter	Главный множитель наслаждения
$SSL_fEnjRaiseMultInterHighlight	Основной множитель/фактор, определяющий скорость увеличения наслаждения для персонажа на основе обнаруженных взаимодействий. Более высокие значения означают более быстрое увеличение наслаждения и наоборот. Может быть уменьшен до нуля, если пользователь желает, чтобы увеличение удовольствия зависело исключительно от мини-игры.
$SSL_bGameEnabled	Включить мини-игру
$SSL_bGameEnabledHighlight	Включает мини-игру влияющую на наслаждение, подобную той которая была в SLSO.

# ------ General Configs
$SSL_bFallbackToTagsForDetection	Разрешить откат на теги поз
$SSL_bFallbackToTagsForDetectionHighlight	Позволяет переключатся на расчёт по тегам поз, если расчёт по физическим коллизиям не доступен.
$SSL_bNoStaminaEndsScene	Закончить при 0 выносливости
$SSL_bNoStaminaEndsSceneHighlight	Если выносливость игрока снизилась до нуля - закончить сцену.
$SSL_bMaleOrgasmEndsScene	Закончить если мужчина кончил
$SSL_bMaleOrgasmEndsSceneHighlight	Заканчивает сцену при мужском оргазме.
$SSL_bDomMustOrgasm	Доминирующий актёр должен кончить
$SSL_bDomMustOrgasmHighlight	Требуется, чтобы доминирующий актёр испытал оргазм до окончания сцены.\nСцена продолжается путём смены анимаций на похожие до тех пор, пока доминирующий актёр не испытает оргазм хотя бы один раз.
$SSL_bPlayerMustOrgasm	Игрок должен кончить
$SSL_bPlayerMustOrgasmHighlight	Требуется, чтобы игровой персонаж испытал оргазм до окончания сцены.\nСцена продолжается путём смены анимаций на похожие до тех пор, пока игровой персонаж не испытает оргазм хотя бы один раз.
$SSL_bHighEnjOrgasmWait	Ждать оргазм при высоком возбуждении
$SSL_bHighEnjOrgasmWaitHighlight	Сцена продолжается, если уровень удовольствия актёра превышает 75 или если актёр находится в состояния "предела", независимо от количества оргазмов. Тема продолжается путём смены анимаций на похожие до тех пор, пока актёр с высоким уровнем удовольствия не достигнет оргазма.
$SSL_iMaxNoPainOrgasmMale	Макс безболезненных оргазмов муж.
$SSL_iMaxNoPainOrgasmMaleHighlight	Определяет количество оргазмов, до достижения которого мужчинам-актерам не будет налагаться болевой эффект. Как только количество оргазмов превысит установленный здесь лимит, каждый последующий оргазм будет налагать последовательно более высокие болевые эффекты.
$SSL_iMaxNoPainOrgasmFemale	Макс безболезненных оргазмов жен.
$SSL_iMaxNoPainOrgasmFemaleHighlight	Определяет количество оргазмов, до достижения которого женским/фута-актрисам не будет налагаться болевой эффект. Как только количество оргазмов превысит установленный здесь лимит, каждый последующий оргазм будет наносить последовательно возрастающий болевой эффект.
$SSL_iNoPainRequiredTime	Время уменьшения боли
$SSL_iNoPainRequiredTimeHighlight	Время, необходимое в секундах для того, чтобы болевые ощущения (например, от проникновения для неопытных актеров) исчезли во время сцены.
$SSL_iNoPainRequiredXP	Опыт для избегания боли
$SSL_iNoPainRequiredXPHighlight	Определяет необходимое количество опыта для анального и вагинального проникновения, чтобы избежать болевых ощущений от полового акта.

# ------ Misc Multipliers
$SSL_fEnjMultVictim	Множитель наслаждения: Жертва
$SSL_fEnjMultVictimHighlight	Дополнительный множитель повышения удовольствия для актёров-жертв.\n(К сведению: состояние жертвы определяется контекстом сцены, а не тегами.)
$SSL_fEnjMultAggressor	Множитель наслаждения: Агрессор
$SSL_fEnjMultAggressorHighlight	Дополнительный множитель повышения удовольствия для актёров-агрессоров.\n(К сведению: состояние агрессора определяется контекстом сцены, а не тегами.)
$SSL_fEnjMultSub	Множитель наслаждения: Покорный
$SSL_fEnjMultSubHighlight	Дополнительный множитель повышения удовольствия для покорных актёров.\n(К сведению: состояние покорного акрёра определяется внутренними настройками SLSB сцены, а не тегами.)
$SSL_fEnjMultDom	Множитель наслаждения: Доминантный
$SSL_fEnjMultDomHighlight	Дополнительный множитель повышения удовольствия для доминантных (не покорных) актёров.\n(К сведению: состояние доминантного актёра  определяется внутренними настройками SLSB сцены, а не тегами.)
$SSL_fPainHugePPMult	Множитель боли: Здоровый "агрегат"
